text_id	text_group	text_source	annotation_result_group	annotation_id	annotation_type	annotation_to_name	annotation_from_name	annotation_start	annotation_end	annotation_text	annotation_label
90d9a97c7b7749ec8a4f460fda6f937e	_	tax_districtcourts judgement https://indiankanoon.org/doc/1556717/	0	C8HPTIM1	labels	text	label	90	103	Hongkong Bank	ORG
90d9a97c7b7749ec8a4f460fda6f937e	_	tax_districtcourts judgement https://indiankanoon.org/doc/1556717/	0	KOWE3RAM	labels	text	label	267	278	Rahul & Co.	ORG
a325c57ba5b84c6fa46bee65e6616633	_	criminal_punjab-haryana_high_court judgement https://indiankanoon.org/doc/264463	0	0V4Q2F2B	labels	text	label	26	30	Agya	OTHER_PERSON
a325c57ba5b84c6fa46bee65e6616633	_	criminal_punjab-haryana_high_court judgement https://indiankanoon.org/doc/264463	0	HLWY1CM9	labels	text	label	101	105	Kaur	OTHER_PERSON
a325c57ba5b84c6fa46bee65e6616633	_	criminal_punjab-haryana_high_court judgement https://indiankanoon.org/doc/264463	0	9BYYLAZB	labels	text	label	159	174	Tarlochan Singh	OTHER_PERSON
33cface31108441080976035ee04d07e	_	financial_districtcourts judgement https://indiankanoon.org/doc/94286093/	0	F8G5DZ9V	labels	text	label	13	25	Vijay Mishra	WITNESS
33cface31108441080976035ee04d07e	_	financial_districtcourts judgement https://indiankanoon.org/doc/94286093/	0	6EYWDSH8	labels	text	label	44	60	HDFC Bank, Noida	ORG
33cface31108441080976035ee04d07e	_	financial_districtcourts judgement https://indiankanoon.org/doc/94286093/	0	0CP8SD2M	labels	text	label	62	64	UP	GPE
33cface31108441080976035ee04d07e	_	financial_districtcourts judgement https://indiankanoon.org/doc/94286093/	0	L6YOIRVA	labels	text	label	121	130	HDFC Bank	ORG
428070222cd940eba78b233829eb28b8	_	motorvehicles_andhra_high_court judgement https://indiankanoon.org/doc/903089	0	M7Z8PSX1	labels	text	label	18	43	T.V. Satyanarayana Murthy	OTHER_PERSON
ac75957f317f4277ae7e21a5c74190d8	_	criminal_andhra_high_court judgement https://indiankanoon.org/doc/60411382	0	Z12MHQ9M	labels	text	label	119	123	POTA	STATUTE
4cb7a0dd260d48e495a9df7f6219c3f4	_	criminal_karnataka_high_court judgement https://indiankanoon.org/doc/7032220	0	W4WIZPFU	labels	text	label	6	18	Chandregowda	WITNESS
77e7e78086d748438ee72d63df9651f7	_	criminal_allahabad_high_court judgement https://indiankanoon.org/doc/600200	0	CVKVI4HT	labels	text	label	30	39	19.8.1998	DATE
e26564d66f884772af904ce568008344	_	constitution_karnataka_high_court judgement https://indiankanoon.org/doc/1125817	0	Y4PRUUGD	labels	text	label	16	30	28 March, 1959	DATE
e26564d66f884772af904ce568008344	_	constitution_karnataka_high_court judgement https://indiankanoon.org/doc/1125817	0	ZNJWXYW2	labels	text	label	32	49	Krishnamurthi Rao	OTHER_PERSON
6e30eef5f6ba4e98b0627252989fdb94	_	tax_patna_high_court judgement https://indiankanoon.org/doc/374135	0	S6L2UZ4A	labels	text	label	89	97	Tripathi	OTHER_PERSON
ecca444c63514507a708eca50494c1d3	_	tax_madhya_pradesh_high_court judgement https://indiankanoon.org/doc/1809810	0	H35VUG2Q	labels	text	label	24	38	Section 66 (1)	PROVISION
ecca444c63514507a708eca50494c1d3	_	tax_madhya_pradesh_high_court judgement https://indiankanoon.org/doc/1809810	0	T31JPXBF	labels	text	label	46	73	Indian Income-tax Act, 1922	STATUTE
ecca444c63514507a708eca50494c1d3	_	tax_madhya_pradesh_high_court judgement https://indiankanoon.org/doc/1809810	0	6BAYJ32W	labels	text	label	115	140	Dayabhai & Co. of Barwani	ORG
ecca444c63514507a708eca50494c1d3	_	tax_madhya_pradesh_high_court judgement https://indiankanoon.org/doc/1809810	0	OWWXT6EG	labels	text	label	290	302	Section 26-A	PROVISION
ecca444c63514507a708eca50494c1d3	_	tax_madhya_pradesh_high_court judgement https://indiankanoon.org/doc/1809810	0	HUXWD5NG	labels	text	label	310	331	Indian Income-tax Act	STATUTE
23dea1fad3a84ceb8392f02f80831c08	_	criminal_rajasthan_high_court judgement https://indiankanoon.org/doc/702474	0	SXCJH9ZP	labels	text	label	130	139	29.4.1968	DATE
23dea1fad3a84ceb8392f02f80831c08	_	criminal_rajasthan_high_court judgement https://indiankanoon.org/doc/702474	0	3DRV3SWZ	labels	text	label	149	175	Sessions Judge Jaipur City	COURT
23dea1fad3a84ceb8392f02f80831c08	_	criminal_rajasthan_high_court judgement https://indiankanoon.org/doc/702474	0	8PC9TVNJ	labels	text	label	285	294	26.2.1968	DATE
821e66318a5349c99c3377f8de150ae4	_	civil_madhya_pradesh_high_court judgement https://indiankanoon.org/doc/156256483	0	R74MSM9O	labels	text	label	5	16	Vinay Saraf	OTHER_PERSON
